city,time_period,total_points,outliers_iqr_count,outliers_iqr_pct,outliers_zscore_count,outliers_zscore_pct,mean_temp,std_temp,min_temp,max_temp
"Johnson County and Wyandotte County, KS",af,68174,696,1.0209170651568047,358,0.5251268812157127,90.05540235280311,1.2561049049650084,85.1,96.6
"Johnson County and Wyandotte County, KS",am,71613,60,0.08378367056260735,50,0.06981972546883945,74.41441358412578,1.4462947713871366,70.3,79.5
"Johnson County and Wyandotte County, KS",pm,70112,1392,1.9853947968963943,632,0.9014148790506618,86.18830585349156,1.7138824511573658,79.2,90.9
"Kansas City, MO",af,23435,24,0.10241092383187542,0,0.0,89.61765948367827,1.345942612370981,85.7,93.4
"Kansas City, MO",pm,24193,67,0.27693961063117434,5,0.020667135121729425,85.72517091720746,1.2347407030380866,81.94,89.14
"Knoxville, TN",af,20718,387,1.8679409209383144,165,0.7964089197799016,89.86806158895646,1.5818041200559296,82.9,95.1
"Knoxville, TN",am,18516,90,0.48606610499027864,89,0.4806653704903867,69.8842514581983,1.3418087935601728,66.8,78.1
"Knoxville, TN",pm,19030,55,0.2890173410404624,51,0.2679978980557015,86.52314240672622,2.8177939225233732,77.6,93.3
"Laredo, TX",af,15943,159,0.997302891551151,47,0.2948002258044283,101.34210625352819,1.3179970527560398,95.7,106.7
"Laredo, TX",am,16956,280,1.6513328615239444,28,0.16513328615239442,80.17961193677755,1.070614318080415,76.5,82.7
"Laredo, TX",pm,14748,72,0.4882017900732303,24,0.16273393002441008,98.5098521833469,0.8612659990298424,96.0,102.0
"Las Cruces, NM",af,12535,849,6.773035500598325,118,0.9413641802951735,104.77011567610691,1.576570896080649,99.5,112.28
"Las Cruces, NM",am,12394,121,0.9762788446022269,0,0.0,76.96620461513635,1.3713997937550684,72.86,80.78
"Las Cruces, NM",pm,13878,860,6.196858336936158,217,1.5636258826920306,98.93859922178987,2.2061074543360792,89.24000000000001,103.28
"Little Rock, AR",af,22145,553,2.4971776924813724,88,0.397380898622714,97.21928200496725,1.5463351028624104,92.6,102.6
"Little Rock, AR",am,20525,23,0.1120584652862363,23,0.1120584652862363,72.97469427527406,1.3601679377321252,68.7,76.5
"Little Rock, AR",pm,20534,761,3.7060485049186713,196,0.9545144638161098,91.91473653452809,2.266980670390168,83.5,96.3
"Longmont, CO",af,10506,190,1.8084903864458404,122,1.1612411955073292,95.94585950885208,1.0861108891669466,91.6,100.4
"Longmont, CO",am,11072,153,1.381864161849711,43,0.3883670520231214,57.889486994219645,1.6143004882316174,51.8,61.6
"Longmont, CO",pm,10953,150,1.3694878115584772,53,0.48388569341732857,84.8072035058888,1.3943299785387575,78.4,88.3
"Los Angeles, CA",af,14476,87,0.6009947499309202,29,0.20033158331030673,88.14729206963251,1.7538091463352297,84.2,94.82
"Los Angeles, CA",am,15263,713,4.671427635458298,255,1.670706938347638,66.1661416497412,2.5630055578301443,61.16,75.38
"Los Angeles, CA",am,21370,1165,5.451567618156294,355,1.6612072999532053,66.48997098736547,1.9030630603826035,60.980000000000004,75.56
"Los Angeles, CA",pm,19026,214,1.1247766214653632,202,1.061705035214969,71.1681362346263,1.8708794719247566,67.28,80.78
"Lynchburg, VA",af,2330,49,2.1030042918454934,35,1.502145922746781,90.01375965665235,1.29299397470751,85.51,93.18
"Lynchburg, VA",am,2840,239,8.415492957746478,77,2.7112676056338025,70.95640845070423,0.657041053393225,68.35,72.12
"Lynchburg, VA",pm,11063,193,1.7445539184669618,121,1.093735876344572,86.09290879508269,1.909518515098067,78.54,90.35
"Memphis, TN",af,41383,1970,4.760408863543001,643,1.5537781214508373,96.2415460454776,1.5784303522545136,87.8,102.2
"Memphis, TN",am,45897,245,0.5338039523280389,14,0.03050308299017365,80.54308778351526,1.9263878086483808,75.7,86.7
"Memphis, TN",pm,43866,1785,4.069210778279305,529,1.205945379109105,92.34409337527924,1.7825368236809507,84.4,97.6
"MetroWest and Framingham, MA",af,16395,165,1.0064043915827996,34,0.20738029887160722,85.6526745959134,1.4832468983037839,80.9,91.1
"MetroWest and Framingham, MA",am,17544,128,0.729594163246694,13,0.07409940720474237,68.59563953488373,1.4473680931942234,65.6,73.2
"MetroWest and Framingham, MA",pm,15921,6,0.03768607499528924,1,0.0062810124992148724,79.9544689403932,1.2053068316565605,76.5,83.6
"Miami, FL",af,20682,296,1.4311962092640944,233,1.126583502562615,89.42725848563968,1.2775529618222847,83.12,93.74
"Miami, FL",am,19257,1833,9.518616606948124,964,5.005971854390611,82.450026483876,1.6949785673867883,75.2,84.2
"Miami, FL",pm,20295,1120,5.51860064055186,297,1.4634146341463417,85.76289135254989,1.0195249422793222,82.03999999999999,88.7
"Milwaukee, WI",af,20866,392,1.878654270104476,67,0.321096520655612,91.38833509057797,1.0105316399756448,88.0,96.7
"Milwaukee, WI",am,17715,22,0.12418854078464578,2,0.011289867344058707,72.39226079593566,1.071863459608633,69.1,75.1
