city,time_period,filename,filepath,point_count,valid_point_count,temp_field,mean_temp,median_temp,std_temp,min_temp,max_temp,range_temp,percentile_25,percentile_75,iqr
"Clark County, NV",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clark County, NV/traverses_chw_clark_county_102422/am_trav.shp",54432,54432,temp_f,80.33947310405642,80.3,1.964428430374992,75.0,84.8,9.799999999999997,78.8,82.1,3.299999999999997
"Clark County, NV",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clark County, NV/traverses_chw_clark_county_102422/pm_trav.shp",43764,43764,temp_f,88.53359382140573,88.3,1.8325363887816712,83.6,93.4,9.800000000000011,87.1,90.0,2.9000000000000057
"Clarksville, IN",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clarksville, IN/traverses_chw_clarksville_111521/af_trav.shp",6921,6921,temp_f,91.4294451668834,91.44,1.1889778969564853,88.2,94.76,6.560000000000002,90.63,92.25,1.6200000000000045
"Clarksville, IN",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clarksville, IN/traverses_chw_clarksville_111521/am_trav.shp",9917,9917,temp_f,71.32163658364423,71.36,1.7063928029406195,67.18,76.06,8.879999999999995,70.08,72.61,2.530000000000001
"Clarksville, IN",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clarksville, IN/traverses_chw_clarksville_111521/pm_trav.shp",7473,7473,temp_f,89.87808109193094,90.02,1.2656050092570281,86.15,93.42,7.269999999999996,89.13,90.74,1.6099999999999994
"Columbia, MO",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbia, MO/traverses_chw_columbia_mo_100422/af_trav.shp",12404,12404,temp_f,97.1344243792325,97.1,1.065627126632091,94.0,100.5,6.5,96.3,97.9,1.6000000000000085
"Columbia, MO",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbia, MO/traverses_chw_columbia_mo_100422/am_trav.shp",10858,10858,temp_f,79.58951924848039,79.6,0.6718977674593375,77.2,81.5,4.299999999999997,79.2,80.1,0.8999999999999915
"Columbia, MO",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbia, MO/traverses_chw_columbia_mo_100422/pm_trav.shp",10149,10149,temp_f,93.38376194698985,93.5,1.1504253849117196,88.1,97.1,9.0,92.7,94.1,1.3999999999999915
"Columbia, SC",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbia, SC/traverses_chw_columbia_sc_092222/af_trav.shp",18529,18529,temp_f,93.25740191051865,93.4,2.6470643177475326,81.7,100.2,18.5,92.0,95.0,3.0
"Columbia, SC",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbia, SC/traverses_chw_columbia_sc_092222/am_trav.shp",27927,27927,temp_f,76.24817560067318,76.1,1.4267543761289858,72.5,82.0,9.5,75.3,77.1,1.7999999999999972
"Columbia, SC",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbia, SC/traverses_chw_columbia_sc_092222/pm_trav.shp",25416,25416,temp_f,83.36446726471513,83.6,1.6182444184687996,77.8,87.5,9.700000000000003,82.2,84.6,2.3999999999999915
"Columbus, OH",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbus, OH/traverses_chw_columbus_902022/af_trav.shp",37656,37656,temp_f,79.37160080730827,79.4,1.3522168013548548,74.4,85.0,10.599999999999994,78.4,80.3,1.8999999999999915
"Columbus, OH",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbus, OH/traverses_chw_columbus_902022/am_trav.shp",41348,41348,temp_f,59.0348868143562,59.0,1.7070410680324553,52.2,64.3,12.099999999999994,57.9,60.1,2.200000000000003
"Columbus, OH",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Columbus, OH/traverses_chw_columbus_902022/pm_trav.shp",33170,33170,temp_f,76.4778353934278,76.8,1.9179093778663818,68.1,81.3,13.200000000000003,75.9,77.6,1.6999999999999886
"Detroit, MI",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Detroit, MI/traverses_chw_detroit_102020/af_trav.shp",43719,43719,temp_f,82.63498936389212,82.58000000000001,1.0108764488823836,79.16,87.44,8.280000000000001,82.03999999999999,83.30000000000001,1.2600000000000193
"Detroit, MI",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Detroit, MI/traverses_chw_detroit_102020/am_trav.shp",46178,46178,temp_f,61.31805448481961,60.980000000000004,2.0984208500655193,56.66,68.18,11.52000000000001,60.08,62.24,2.1600000000000037
"Detroit, MI",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Detroit, MI/traverses_chw_detroit_102020/pm_trav.shp",41528,41528,temp_f,79.62924918127528,79.7,0.94972615401175,76.82,84.56,7.740000000000009,78.98,80.24000000000001,1.2600000000000051
